period,addressId,diceName,bet_count
2012-09-22,3517367,lessthan 48000,532
2012-09-23,3524394,lessthan 32000,4032
2012-09-23,3517636,lessthan 32768,996
2012-09-23,3517367,lessthan 48000,614
2012-09-24,3524394,lessthan 32000,3989
2012-09-24,3517636,lessthan 32768,1191
2012-09-24,3517367,lessthan 48000,301
2012-09-25,3524394,lessthan 32000,2038
2012-09-25,3517636,lessthan 32768,328
2012-09-25,3517367,lessthan 48000,188
2012-09-26,3524394,lessthan 32000,3750
2012-09-26,3517636,lessthan 32768,571
2012-09-26,3517367,lessthan 48000,489
2012-09-27,3524394,lessthan 32000,2268
2012-09-27,3517636,lessthan 32768,310
2012-09-27,3517367,lessthan 48000,661
2012-09-28,3524394,lessthan 32000,1236
2012-09-28,3517636,lessthan 32768,745
2012-09-28,3517367,lessthan 48000,754
2012-09-29,3524394,lessthan 32000,1342
2012-09-29,3517636,lessthan 32768,382
2012-09-29,3517367,lessthan 48000,835
2012-09-30,3524394,lessthan 32000,1631
2012-09-30,3517636,lessthan 32768,287
2012-09-30,3517367,lessthan 48000,371
2012-10-01,3524394,lessthan 32000,1698
2012-10-01,3517636,lessthan 32768,649
2012-10-01,3517367,lessthan 48000,641
2012-10-02,3524394,lessthan 32000,1848
2012-10-02,3517636,lessthan 32768,1666
2012-10-02,3517367,lessthan 48000,675
2012-10-03,3524394,lessthan 32000,1552
2012-10-03,3517636,lessthan 32768,545
2012-10-03,3517367,lessthan 48000,1021
2012-10-04,3524394,lessthan 32000,4130
2012-10-04,3517636,lessthan 32768,1083
2012-10-04,3517367,lessthan 48000,409
2012-10-05,3524394,lessthan 32000,5925
2012-10-05,3517636,lessthan 32768,1428
2012-10-05,3517367,lessthan 48000,455
2012-10-06,3524394,lessthan 32000,5771
2012-10-06,3517636,lessthan 32768,2253
2012-10-06,3517367,lessthan 48000,376
2012-10-07,3524394,lessthan 32000,5619
2012-10-07,3517636,lessthan 32768,1481
2012-10-07,3517367,lessthan 48000,256
2012-10-08,3524394,lessthan 32000,6282
2012-10-08,3517636,lessthan 32768,2773
2012-10-08,3517367,lessthan 48000,683
2012-10-09,3524394,lessthan 32000,4969
2012-10-09,3517636,lessthan 32768,896
2012-10-09,3517367,lessthan 48000,512
2012-10-10,3524394,lessthan 32000,3498
2012-10-10,3517636,lessthan 32768,612
2012-10-10,3517367,lessthan 48000,749
2012-10-11,3524394,lessthan 32000,1511
2012-10-11,3517636,lessthan 32768,1163
2012-10-11,3517367,lessthan 48000,405
2012-10-12,3524394,lessthan 32000,2220
2012-10-12,3517636,lessthan 32768,1190
2012-10-12,3517367,lessthan 48000,403
2012-10-13,3524394,lessthan 32000,2769
2012-10-13,3517636,lessthan 32768,947
2012-10-13,3517367,lessthan 48000,274
2012-10-14,3524394,lessthan 32000,3644
2012-10-14,3517636,lessthan 32768,782
2012-10-14,3517367,lessthan 48000,360
2012-10-15,3524394,lessthan 32000,4037
2012-10-15,3517636,lessthan 32768,1055
2012-10-15,3517367,lessthan 48000,368
2012-10-16,3524394,lessthan 32000,4543
2012-10-16,3517636,lessthan 32768,1452
2012-10-16,3517367,lessthan 48000,608
2012-10-17,3524394,lessthan 32000,2758
2012-10-17,3517636,lessthan 32768,1318
2012-10-17,3517367,lessthan 48000,600
2012-10-18,3524394,lessthan 32000,1839
2012-10-18,3517636,lessthan 32768,1019
2012-10-18,3517367,lessthan 48000,254
2012-10-19,3524394,lessthan 32000,1963
2012-10-19,3517636,lessthan 32768,793
2012-10-19,3517367,lessthan 48000,195
2012-10-20,3524394,lessthan 32000,3430
2012-10-20,3517636,lessthan 32768,337
2012-10-20,3517367,lessthan 48000,339
2012-10-21,3524394,lessthan 32000,7347
2012-10-21,3517636,lessthan 32768,350
2012-10-21,3517367,lessthan 48000,863
2012-10-22,3524394,lessthan 32000,9920
2012-10-22,3517636,lessthan 32768,311
2012-10-22,3517367,lessthan 48000,1350
2012-10-23,3524394,lessthan 32000,5119
2012-10-23,3517636,lessthan 32768,499
2012-10-23,3517367,lessthan 48000,750
2012-10-24,3524394,lessthan 32000,3207
2012-10-24,3517636,lessthan 32768,468
2012-10-24,3517367,lessthan 48000,795
2012-10-25,3524394,lessthan 32000,2476
2012-10-25,3517636,lessthan 32768,249
2012-10-25,3517367,lessthan 48000,795
2012-10-26,3524394,lessthan 32000,1126
2012-10-26,3517636,lessthan 32768,320
2012-10-26,3517367,lessthan 48000,597
2012-10-27,3524394,lessthan 32000,298
2012-10-27,3517636,lessthan 32768,682
2012-10-27,3517367,lessthan 48000,165
2012-10-28,3524394,lessthan 32000,564
2012-10-28,3517636,lessthan 32768,937
2012-10-28,3517367,lessthan 48000,310
2012-10-29,3524394,lessthan 32000,558
2012-10-29,3517636,lessthan 32768,1988
2012-10-29,3517367,lessthan 48000,500
2012-10-30,3524394,lessthan 32000,545
2012-10-30,3517636,lessthan 32768,4252
2012-10-30,3517367,lessthan 48000,903
2012-10-31,3524394,lessthan 32000,920
2012-10-31,3517636,lessthan 32768,2355
2012-10-31,3517367,lessthan 48000,393
2012-11-01,3524394,lessthan 32000,521
2012-11-01,3517636,lessthan 32768,2536
2012-11-01,3517367,lessthan 48000,427
2012-11-02,3524394,lessthan 32000,790
2012-11-02,3517636,lessthan 32768,3336
2012-11-02,3517367,lessthan 48000,735
2012-11-03,3524394,lessthan 32000,629
2012-11-03,3517636,lessthan 32768,1967
2012-11-03,3517367,lessthan 48000,671
2012-11-04,3524394,lessthan 32000,619
2012-11-04,3517636,lessthan 32768,1689
2012-11-04,3517367,lessthan 48000,823
2012-11-05,3524394,lessthan 32000,2148
2012-11-05,3517636,lessthan 32768,2027
2012-11-05,3517367,lessthan 48000,970
2012-11-06,3524394,lessthan 32000,1733
2012-11-06,3517636,lessthan 32768,1946
2012-11-06,3517367,lessthan 48000,1549
2012-11-07,3524394,lessthan 32000,1979
2012-11-07,3517636,lessthan 32768,1117
2012-11-07,3517367,lessthan 48000,2114
2012-11-08,3524394,lessthan 32000,1480
2012-11-08,3517636,lessthan 32768,1498
2012-11-08,3517367,lessthan 48000,1671
2012-11-09,3524394,lessthan 32000,968
2012-11-09,3517636,lessthan 32768,1258
2012-11-09,3517367,lessthan 48000,714
2012-11-10,3524394,lessthan 32000,1072
